sentence_id	sentence	label_id	definition
26	Who was green and sat <head>on</head> the throne ?	13	physically in contact with and supported by (a surface) (e.g., the book on the table)
27	Mandeville and Southgate slouched <head>on</head> their horses , both dressed in leather quilted jackets , their feet encased in long riding boots .	13	physically in contact with and supported by (a surface) (e.g., the book on the table)
28	I often saw you sprawling <head>on</head> the floor or on a park bench , a joyous sunburst of creases radiating from your abandoned crotch , your jumping fly .	13	physically in contact with and supported by (a surface) (e.g., the book on the table)
29	It 's extremely hard to explain why you are squatting <head>on</head> his lawn with your pyjamas round your ankles .	13	physically in contact with and supported by (a surface) (e.g., the book on the table)
30	She saw a young man squatting <head>on</head> a rucksack , eating a bar of chocolate and looking at the board .	13	physically in contact with and supported by (a surface) (e.g., the book on the table)
31	The Europeans all stand <head>on</head> the station veranda , while an African crowd stands outside the station beside the tracks .	13	physically in contact with and supported by (a surface) (e.g., the book on the table)
32	She hurried to the front door , glaring at the man who stood <head>on</head> the step .	13	physically in contact with and supported by (a surface) (e.g., the book on the table)
33	He climbed on one side of the desks , stood <head>on</head> tiptoe , and , forcing up the skylight , eased his head through into the icy December wind .	3	indicating the part(s) of the body supporting the rest of the body (e.g., stood on his feet)
34	The former Ryder Cup man was not here to work on swings ; merely to pass on some of his knowledge <head>on</head> course management .	7	having (the thing mentioned) as a topic; about (e.g., knowledge on sailing)
35	To do this , management protocols must be based on available knowledge <head>on</head> wound healing .	7	having (the thing mentioned) as a topic; about (e.g., knowledge on sailing)
36	"Their joint thoughts <head>on</head> this vital area for business are uniquely relevant . """	7	having (the thing mentioned) as a topic; about (e.g., knowledge on sailing)
37	He spent his time putting down on odd scraps of vellum his different thoughts <head>on</head> what he had learnt over the past few weeks .	7	having (the thing mentioned) as a topic; about (e.g., knowledge on sailing)
38	Hamlet often thinks of death , and this debate fits with his thoughts <head>on</head> mortality .	7	having (the thing mentioned) as a topic; about (e.g., knowledge on sailing)
39	As bookings for halls , films , speakers , etc. etc have to be made weeks in advance your thoughts <head>on</head> this subject would be appreciated .	7	having (the thing mentioned) as a topic; about (e.g., knowledge on sailing)
40	Conservative ministers , whatever their private thoughts <head>on</head> these subjects , talk only crowd-pleasing nonsense on them in public .	7	having (the thing mentioned) as a topic; about (e.g., knowledge on sailing)
41	I would like to expand on the same topic by expressing my thoughts <head>on</head> the structures that exist , or fail to exist , in this country to help promising junior players become accomplished professionals .	7	having (the thing mentioned) as a topic; about (e.g., knowledge on sailing)
42	On one occasion the group were being asked about their thoughts <head>on</head> the question of how pupils who disrupt lessons by walking out should be disciplined .	7	having (the thing mentioned) as a topic; about (e.g., knowledge on sailing)
43	"` I mean to go to Italy one day , as my brother has done , "" she told me , when I discovered her <head>on</head> a stone bench in the garden , reading a book ."	14	physically in contact with and supported by (a surface) (e.g., the book on the table)
44	Oh , grief , she thought as she discovered his sharp glance <head>on</head> her -- she was supposed to be a journalist , for goodness ' sake !	23	indicating the target of some action or behavior; metaphorically onto or against (e.g., get revenge on Sam)
45	It was a rough curse in Malti , as he noted the red weals <head>on</head> her skin .	6	forming a distinctive or marked part of the surface of (e.g., a smile on his lips)
46	On 3 February he was brought before a judge who noted bruises <head>on</head> his chest and ordered a medical examination .	6	forming a distinctive or marked part of the surface of (e.g., a smile on his lips)
47	Note the flagpoles <head>on</head> the houses .	13	physically in contact with and supported by (a surface) (e.g., the book on the table)
48	One must expect this and while we are trying to understand fully the development of dune shapes and dune systems , it is necessary that researchers should classify dunes <head>on</head> a descriptive basis .	22	having (the thing mentioned) as criteria used in judgment or evaluation or as a/the justification for an action (e.g., judged on his actions)
49	Hence the geographer usually chooses to classify climate <head>on</head> a vegetational basis , assuming that vegetation is mainly a response to climate .	22	having (the thing mentioned) as criteria used in judgment or evaluation or as a/the justification for an action (e.g., judged on his actions)
50	A lender classifies a borrower <head>on</head> the basis of credit-worthiness which , in turn , depends on the borrower 's status , income , current loan commitments , purpose of the loan and so on .	22	having (the thing mentioned) as criteria used in judgment or evaluation or as a/the justification for an action (e.g., judged on his actions)
51	The big improvement with the council tax is that we 've gone back to the old system which is 100% rebates for those classified <head>on</head> low income .	22	having (the thing mentioned) as criteria used in judgment or evaluation or as a/the justification for an action (e.g., judged on his actions)
52	They force the reader to slow down , to dwell or brood <head>on</head> what is happening .	23	indicating the target of some action or behavior; metaphorically onto or against (e.g., get revenge on Sam)
53	You mean to say that you sit in this room all day , brooding <head>on</head> the memory of a dead film-star ?	23	indicating the target of some action or behavior; metaphorically onto or against (e.g., get revenge on Sam)
54	Brooding <head>on</head> this severe prospect , MacDonald and his colleagues departed for their summer holidays .	23	indicating the target of some action or behavior; metaphorically onto or against (e.g., get revenge on Sam)
55	Since the debacle of the wedding/divorce he had become very morose , hardly responding to outside stimuli at all , sunk in his pain and brooding <head>on</head> his wrongs .	23	indicating the target of some action or behavior; metaphorically onto or against (e.g., get revenge on Sam)
56	` Try not to brood <head>on</head> what you 've lost .	23	indicating the target of some action or behavior; metaphorically onto or against (e.g., get revenge on Sam)
57	ONE of Miami 's most racially charged trials in recent years was nearing a climax yesterday , as the jury deliberated <head>on</head> the fate of a Hispanic policeman whose killing of two blacks sparked off rioting in January .	7	having (the thing mentioned) as a topic; about (e.g., knowledge on sailing)
58	In deliberating <head>on</head> this important issue the Committee recognised the importance of ensuring that all staff in the Exchequer Division should be clearly informed of the present position .	7	having (the thing mentioned) as a topic; about (e.g., knowledge on sailing)
59	It is not necessary to deliberate <head>on</head> each one .	7	having (the thing mentioned) as a topic; about (e.g., knowledge on sailing)
60	Using data from the Science Citation Index , produced by the Institute for Scientific Information in Philadelphia , the NSF produces annual reports that have become indispensable to the US Congress in its deliberations <head>on</head> government policy .	7	having (the thing mentioned) as a topic; about (e.g., knowledge on sailing)
61	Is not the Minister embarrassed that 11 countries are signing a protocol stipulating that the United Kingdom will take no part in the Community 's deliberations <head>on</head> the social agenda ?	7	having (the thing mentioned) as a topic; about (e.g., knowledge on sailing)
62	As the Supreme Court began its deliberations <head>on</head> the Pennsylvanian legislation , an extreme anti-abortionist group , Operation Rescue , held a mass picket of an abortion clinic in Buffalo , New York .	7	having (the thing mentioned) as a topic; about (e.g., knowledge on sailing)
63	This gave them access to deliberations <head>on</head> nuclear strategy and tactics in Europe .	7	having (the thing mentioned) as a topic; about (e.g., knowledge on sailing)
64	AS EVERY student knows , affairs with lecturers are as much a part of university life as examination nerves , drunken parties and late night deliberations <head>on</head> the Romantic poets .	7	having (the thing mentioned) as a topic; about (e.g., knowledge on sailing)
65	The authors dwell <head>on</head> the conflicts of interest arising from the commercialization of genetics and biotechnology .	7	having (the thing mentioned) as a topic; about (e.g., knowledge on sailing)
66	` We 've dwelt too much <head>on</head> disaster -- and former triumphs too .	7	having (the thing mentioned) as a topic; about (e.g., knowledge on sailing)
67	We laugh about the whole experience now , but we do n't really like to dwell <head>on</head> particular moments too long .	7	having (the thing mentioned) as a topic; about (e.g., knowledge on sailing)
68	But it 's horrid to dwell <head>on</head> these things where the central effort and basic attitude is so right minded .	7	having (the thing mentioned) as a topic; about (e.g., knowledge on sailing)
69	Even as a child , Russell describes himself as having found this intellectual , religious background as intolerable , and he says that he spent endless hours meditating <head>on</head> the supposed rational grounds for Christianity .	7	having (the thing mentioned) as a topic; about (e.g., knowledge on sailing)
70	In the last chapter she meditates <head>on</head> the meaning of suffering .	7	having (the thing mentioned) as a topic; about (e.g., knowledge on sailing)
71	He liked to take ideas gently , to get time to meditate <head>on</head> the best modes of expressing truth .	7	having (the thing mentioned) as a topic; about (e.g., knowledge on sailing)
72	Blanche turned her biro slowly round in her fingers , meditating <head>on</head> the patterns created by the octagonal tube of plastic , and asked for the name of the dry cleaner 's .	7	having (the thing mentioned) as a topic; about (e.g., knowledge on sailing)
73	"This is a day for thinking of the Four Last Things and meditating <head>on</head> sin . """	7	having (the thing mentioned) as a topic; about (e.g., knowledge on sailing)
74	How much time I have had to meditate <head>on</head> what transpired between us .	7	having (the thing mentioned) as a topic; about (e.g., knowledge on sailing)
75	As Roth says , the film is a meditation <head>on</head> codes of honour , on professional and personal loyalties .	7	having (the thing mentioned) as a topic; about (e.g., knowledge on sailing)
76	This is why meditation <head>on</head> God 's word is of such vital and central significance for our personal and spiritual growth .	7	having (the thing mentioned) as a topic; about (e.g., knowledge on sailing)
77	Meditation <head>on</head> the spiritual life brings forth the peak experience in which the whole organism approaches release -- therein are found the supreme joys of the spirit .	7	having (the thing mentioned) as a topic; about (e.g., knowledge on sailing)
78	Celebrated and little-known meditations <head>on</head> love by Donne , Rossetti , Shakespeare , and many others are coupled with beautiful paintings that prove the power of love to inspire artists , too .	7	having (the thing mentioned) as a topic; about (e.g., knowledge on sailing)
79	INCREDIBLY , COPPOLA 'S sequel actually deepened the richness and meaning of his original masterpiece by widening the time frame , and book-ending the original story with sombre meditations <head>on</head> the implacable nature of crime and retribution .	7	having (the thing mentioned) as a topic; about (e.g., knowledge on sailing)
80	Even meditations <head>on</head> the military spirit of the Romans such as Montesquieu 's Grandeur des Romains et leur decadence -- though suggested by Polybius -- are unthinkable in antiquity .	7	having (the thing mentioned) as a topic; about (e.g., knowledge on sailing)
81	My meditations <head>on</head> St Bridget were cruelly interrupted by the radio , which bore the news of a policeman shot in Belfast .	7	having (the thing mentioned) as a topic; about (e.g., knowledge on sailing)
82	Blanche stood outside on the pavement under the restaurant 's yellow awning and mused <head>on</head> what the girl had told her .	7	having (the thing mentioned) as a topic; about (e.g., knowledge on sailing)
83	Keeler has been musing <head>on</head> the nature of weediness and the likelihood of it evolving among engineered crops .	7	having (the thing mentioned) as a topic; about (e.g., knowledge on sailing)
84	Tam Dalyell muses <head>on</head> the need to control a pernicious form of pollution	7	having (the thing mentioned) as a topic; about (e.g., knowledge on sailing)
85	He mused <head>on</head> the problems of the world .	7	having (the thing mentioned) as a topic; about (e.g., knowledge on sailing)
86	The Collector , in a remote and academic sort of way , was musing <head>on</head> this question of ammunition , considering whether there was anything left which still might be fired .	7	having (the thing mentioned) as a topic; about (e.g., knowledge on sailing)
87	Lagerfeld 's thoughts on Frederick the Great led him to muse <head>on</head> his relationship with his own father .	7	having (the thing mentioned) as a topic; about (e.g., knowledge on sailing)
88	In Oz David Widgery took time off from musing <head>on</head> the revolution to provide an obituary for Jack Kerouac , one of the people with whom the entire movement had started .	7	having (the thing mentioned) as a topic; about (e.g., knowledge on sailing)
89	In its aftermath , he muses <head>on</head> the sort of films he should be making .	7	having (the thing mentioned) as a topic; about (e.g., knowledge on sailing)
90	The writer has often pondered <head>on</head> the manner of their selection , and likes to feel that their skill carried more weight than their religious affiliations .	7	having (the thing mentioned) as a topic; about (e.g., knowledge on sailing)
91	Ian went away , pondering <head>on</head> my replies -- but one thing was certain : major changes were in prospect .	7	having (the thing mentioned) as a topic; about (e.g., knowledge on sailing)
92	Laura pondered <head>on</head> the swelling sea and opened her lips to speak .	7	having (the thing mentioned) as a topic; about (e.g., knowledge on sailing)
93	Time to reflect <head>on</head> the day 's successes over a leisurely dinner , lovingly created by our award-winning chef	7	having (the thing mentioned) as a topic; about (e.g., knowledge on sailing)
94	Reflecting <head>on</head> Down 's immediate future he adds : ` You have to remember that the championship is only eight or nine weeks away so the more competitive football we get the better .	7	having (the thing mentioned) as a topic; about (e.g., knowledge on sailing)
95	Altogether , an enjoyable and memorable occasion to reflect <head>on</head> the highlights of your day .	7	having (the thing mentioned) as a topic; about (e.g., knowledge on sailing)
96	Let us reflect <head>on</head> the matter for a moment .	7	having (the thing mentioned) as a topic; about (e.g., knowledge on sailing)
97	Reflecting <head>on</head> the new and indeed unlikely scenario Collie Curran said : ` PJ McGowan came in three years ago and showed us the way ahead .	7	having (the thing mentioned) as a topic; about (e.g., knowledge on sailing)
98	Obviously the candidate will complete this section , but if he were to reflect honestly <head>on</head> his work and what he was allowed to do then his response would not advance his cause .	7	having (the thing mentioned) as a topic; about (e.g., knowledge on sailing)
99	Alternately ironic and sad , provocative and withdrawn , Mubarak shares Genet 's gift for insightful reflection <head>on</head> the revolution and the socio-political forces at work within it and beyond .	7	having (the thing mentioned) as a topic; about (e.g., knowledge on sailing)
100	In what follows , I propose to identify each , and then offer my own reflections <head>on</head> their importance for policy design .	7	having (the thing mentioned) as a topic; about (e.g., knowledge on sailing)
101	Activities for the self-appraisal consisted of individual reflection <head>on</head> practice , consultation with individual staff and departmental discussion .	7	having (the thing mentioned) as a topic; about (e.g., knowledge on sailing)
102	I was ruminating <head>on</head> his chances when my phone rang in the hallway .	7	having (the thing mentioned) as a topic; about (e.g., knowledge on sailing)
103	It is interesting for today 's connoisseur to look at the cellar list of the Dolls ' House and ruminate <head>on</head> the joys of opening a bottle or two .	7	having (the thing mentioned) as a topic; about (e.g., knowledge on sailing)
104	You have to accept the fact that she will not be feeling she has too much to be grateful about , when she ruminates <head>on</head> the loss of her home and some of her previous complete independence .	7	having (the thing mentioned) as a topic; about (e.g., knowledge on sailing)
105	He cast a sidelong glance through the window , as if ruminating <head>on</head> a philosophical problem .	7	having (the thing mentioned) as a topic; about (e.g., knowledge on sailing)
106	But Mark from EMF , a shaven-headed little person , is still ruminating <head>on</head> Sharon Stone 's role in the film Basic Instinct .	7	having (the thing mentioned) as a topic; about (e.g., knowledge on sailing)
107	Now what is God saying to me through this passage ? and you find yourself ruminating <head>on</head> the things you are anxious about , and you start to relate this to the person you are .	7	having (the thing mentioned) as a topic; about (e.g., knowledge on sailing)
108	Some people have great difficulty in solving problems and making decisions and waste a great deal of time ruminating <head>on</head> the same thoughts without ever coming to a clear conclusion .	7	having (the thing mentioned) as a topic; about (e.g., knowledge on sailing)
109	As president of the Royal Society of Portrait Painters , with 40 years of art study behind him , Poole is well placed to draw some conclusions <head>on</head> the art .	7	having (the thing mentioned) as a topic; about (e.g., knowledge on sailing)
110	I 'll draw no conclusions <head>on</head> the whole factory/handmade dilemma here ; you 'll just have to read the first two paragraphs again and make up your own mind .	7	having (the thing mentioned) as a topic; about (e.g., knowledge on sailing)
111	Nor would it do to come to too many conclusions <head>on</head> the evidence of yesterday 's romp in the sun on a well-grassed but hard pitch .	22	having (the thing mentioned) as criteria used in judgment or evaluation or as a/the justification for an action (e.g., judged on his actions)
112	Finally , I will draw some overall conclusions <head>on</head> the White Paper .	7	having (the thing mentioned) as a topic; about (e.g., knowledge on sailing)
113	It should be a task of the European Council to reach conclusions <head>on</head> common foreign and security policy .	7	having (the thing mentioned) as a topic; about (e.g., knowledge on sailing)
114	Within any given plant French workers have a choice between several unions differentiated <head>on</head> political and ideological grounds rather than by means of any structural principles of organisation .	22	having (the thing mentioned) as criteria used in judgment or evaluation or as a/the justification for an action (e.g., judged on his actions)
115	If today we follow scientific analysis , the peoples of the non-industrial world discriminated <head>on</head> the basis of sensory perception .	22	having (the thing mentioned) as criteria used in judgment or evaluation or as a/the justification for an action (e.g., judged on his actions)
116	By five in the morning she had decided to go back , to return to them and forget music , blame her defection <head>on</head> a temporary post-natal madness .	20	onto; indicating where (or against what) contact is made (e.g., threw spaghetti on the wall)
117	"Richard Branson 's airline blamed the breakdown <head>on</head> BA for trying to impose a ` gagging clause "" in an agreement which would have seen BA pay $9 million in compensation to Virgin ."	20	onto; indicating where (or against what) contact is made (e.g., threw spaghetti on the wall)
118	"He had even had the gall to blame it <head>on</head> Folly herself ; to say it would never have happened if she had been more ` reasonable "" ."	20	onto; indicating where (or against what) contact is made (e.g., threw spaghetti on the wall)
119	"` He was quite temperamental because of his perfectionism , and he was always concerned that there was something he was not doing with the material ; in other words , he blamed it <head>on</head> his delivery . """	20	onto; indicating where (or against what) contact is made (e.g., threw spaghetti on the wall)
120	Delhi has blamed the unrest <head>on</head> Islamabad , accusing it of arming , training and inspiring the subversives , a charge Pakistan denies .	20	onto; indicating where (or against what) contact is made (e.g., threw spaghetti on the wall)
121	He was so dangerously persuasive -- and it would be all too convenient to blame everything <head>on</head> the absent Miss Philimore .	20	onto; indicating where (or against what) contact is made (e.g., threw spaghetti on the wall)
122	She blamed it <head>on</head> the after-effects of the trial and the feta cheese in the salad .	20	onto; indicating where (or against what) contact is made (e.g., threw spaghetti on the wall)
123	He blames the mistakes <head>on</head> the book on which the film was based .	20	onto; indicating where (or against what) contact is made (e.g., threw spaghetti on the wall)
124	The administration blames the delay <head>on</head> the fact that Hillary Rodham Clinton , the president 's wife and head of the task force , had to take two weeks off to care for her dying father .	20	onto; indicating where (or against what) contact is made (e.g., threw spaghetti on the wall)
125	The rebels blamed the massacre <head>on</head> the government troops and the government blamed it on the rebels .	20	onto; indicating where (or against what) contact is made (e.g., threw spaghetti on the wall)
126	"Of course they deny responsibility , blaming any trouble <head>on</head> weekend ravers who they say expect ` something for nothing "" ."	20	onto; indicating where (or against what) contact is made (e.g., threw spaghetti on the wall)
127	Along the chalk downs in southern England there are a number of short , steep-sided dry valleys traditionally blamed <head>on</head> the devil ( for example , Devil 's Dyke near Brighton ) .	20	onto; indicating where (or against what) contact is made (e.g., threw spaghetti on the wall)
128	The side effects usually blamed <head>on</head> grades are , in fact , those we have already seen associated with other aspects of assessment systems -- emphasis on the easily-measured , unfairness , standardization , competition , extrinsic rewards .	20	onto; indicating where (or against what) contact is made (e.g., threw spaghetti on the wall)
129	This omission the CIA conveniently blamed <head>on</head> a handful of spies .	20	onto; indicating where (or against what) contact is made (e.g., threw spaghetti on the wall)
130	The Zimbabwean government is being embarrassed by evidence of high-level involvement in the killing of its dwindling rhino population , which it has long blamed <head>on</head> Zambian poachers .	20	onto; indicating where (or against what) contact is made (e.g., threw spaghetti on the wall)
131	Environmentalists have also expressed concern at reports of massive fish deaths in the region , which local people blame <head>on</head> use of herbicides and pesticides in the plantations .	20	onto; indicating where (or against what) contact is made (e.g., threw spaghetti on the wall)
132	The defending solicitor tried to fault her <head>on</head> identification but she described the car as having a metallic paint job , wide wheels and a number of triangular stickers in the rear window ; she also thought that she could remember a couple of fluffy dice hanging from the rear-view mirror , and she gave the first three letters of the registration number .	22	having (the thing mentioned) as criteria used in judgment or evaluation or as a/the justification for an action (e.g., judged on his actions)
133	In American universities they poured scorn <head>on</head> the cult of material prosperity .	20	onto; indicating where (or against what) contact is made (e.g., threw spaghetti on the wall)
134	It was this last bit that caused the problem , and critics have poured scorn <head>on</head> the advice ever since .	20	onto; indicating where (or against what) contact is made (e.g., threw spaghetti on the wall)
135	How come the Europeans accept musicians who 've been around for a while , but we British just pour scorn <head>on</head> them as has-beens ?	20	onto; indicating where (or against what) contact is made (e.g., threw spaghetti on the wall)
136	Plato and other anti-democratic writers pour scorn <head>on</head> the practice of pay for public service -- how much better that of other cities and of the Good Old Days , when gentlemen gave of their time freely !	20	onto; indicating where (or against what) contact is made (e.g., threw spaghetti on the wall)
137	And to think she had always poured scorn <head>on</head> her older sisters when they had put on such fluttering airs in front of a man .	20	onto; indicating where (or against what) contact is made (e.g., threw spaghetti on the wall)
138	"He poured scorn <head>on</head> the Conservatives ' pre-election assurances on their low-tax policy , describing the Government as ` political cheats who have got into power by sheer dishonesty and by defrauding the electorate "" ."	20	onto; indicating where (or against what) contact is made (e.g., threw spaghetti on the wall)
139	This is partly because of Marx 's strictures <head>on</head> Utopian socialism .	20	onto; indicating where (or against what) contact is made (e.g., threw spaghetti on the wall)
140	"Cassie brushed aside these strictures <head>on</head> her behaviour and said : ` You really hate Bella , do n't you ? """	20	onto; indicating where (or against what) contact is made (e.g., threw spaghetti on the wall)
141	It is in this context that the strictures <head>on</head> historians for their general lack of curiosity in text analysis needs to be considered .	20	onto; indicating where (or against what) contact is made (e.g., threw spaghetti on the wall)
142	It was therefore important and exciting to notice that there was a light in a ground-floor window of his house and that , by a fortunate piece of carelessness <head>on</head> somebody 's part , the curtains had not been drawn .	22	having (the thing mentioned) as criteria used in judgment or evaluation or as a/the justification for an action (e.g., judged on his actions)
143	We support the emphasis of data collection and analysis <head>on</head> coastal resources prior to preparation of the development plan .	7	having (the thing mentioned) as a topic; about (e.g., knowledge on sailing)
144	THE RESULT of a post-mortem examination <head>on</head> a man who died after collapsing at a rave party will not be known for another 48 hours , police said yesterday .	7	having (the thing mentioned) as a topic; about (e.g., knowledge on sailing)
145	The flying test was followed by an intensive oral examination <head>on</head> technical details .	23	indicating the target of some action or behavior; metaphorically onto or against (e.g., get revenge on Sam)
146	Making inspections <head>on</head> cattle on page four , erm , one thousand one hundred and forty two inbred , and five hundred and twenty three bred .	7	having (the thing mentioned) as a topic; about (e.g., knowledge on sailing)
147	Most studies <head>on</head> the management control process have been carried out in the private sector with profit-orientated organizations .	7	having (the thing mentioned) as a topic; about (e.g., knowledge on sailing)
148	The initial results of an independent study <head>on</head> Oxford and it 's traffic problems have been put on show in the City today .	7	having (the thing mentioned) as a topic; about (e.g., knowledge on sailing)
149	In 1991 , an Arthur Andersen survey <head>on</head> absenteeism estimated that some 1m employees are absent from work every day and that the problem costs industry over $6bn a year .	7	having (the thing mentioned) as a topic; about (e.g., knowledge on sailing)
150	Using the employment information contained in SPIR and in the responses , and from a telephone survey <head>on</head> the exporting status of non-respondents , it was possible to estimate the overall employment in all exporting companies in Scotland .	7	having (the thing mentioned) as a topic; about (e.g., knowledge on sailing)
151	If the Minister does not know the details , I direct him to the NFU survey <head>on</head> the Borders .	7	having (the thing mentioned) as a topic; about (e.g., knowledge on sailing)
152	"Our surveys <head>on</head> this issue get the best response from staff at all grades "" ."	7	having (the thing mentioned) as a topic; about (e.g., knowledge on sailing)
153	"Pennick and Devereux are blunt <head>on</head> this point : ` The dowsing rod has become an implement to authorise the acceptance of subjective ideas as factual statements . """	7	having (the thing mentioned) as a topic; about (e.g., knowledge on sailing)
154	Sir Geoffrey Howe was surprisingly candid <head>on</head> this point in an interview with the Daily Mail in February 1984 .	7	having (the thing mentioned) as a topic; about (e.g., knowledge on sailing)
155	The report is coy <head>on</head> major policy implications .	7	having (the thing mentioned) as a topic; about (e.g., knowledge on sailing)
156	Gordon Smith , Caledonian 's sales director -- the company is increasing its sponsorship though it remains coy <head>on</head> an amount -- said it viewed the association with Currie as long term .	7	having (the thing mentioned) as a topic; about (e.g., knowledge on sailing)
157	But Carol is remaining discreet <head>on</head> the exact design .	7	having (the thing mentioned) as a topic; about (e.g., knowledge on sailing)
158	Indeed , the Gospels of both Luke and John are explicit <head>on</head> the matter .	7	having (the thing mentioned) as a topic; about (e.g., knowledge on sailing)
159	He was far more forthright <head>on</head> the omission of Steve Cram .	7	having (the thing mentioned) as a topic; about (e.g., knowledge on sailing)
160	Why should he -- he has his own career , his own life and he 's pretty forthright <head>on</head> many things -- and a very good thing , too .	7	having (the thing mentioned) as a topic; about (e.g., knowledge on sailing)
161	"The paper was to be open and frank <head>on</head> political as well as personal issues ; it was to be investigative and campaigning , internationalist , but also accessible , and radical but clearly independent of any political current or party . """	7	having (the thing mentioned) as a topic; about (e.g., knowledge on sailing)
162	As a former schoolmaster , he has always been outspoken <head>on</head> education issues and a firm supporter of traditional learning methods .	7	having (the thing mentioned) as a topic; about (e.g., knowledge on sailing)
163	EC Foreign Ministers meeting in Brussels on Aug. 27 were outspoken <head>on</head> Serbia 's responsibility for the conflict ( a feeling which was echoed by the United States State Department on Aug. 29 ) .	7	having (the thing mentioned) as a topic; about (e.g., knowledge on sailing)
164	"There will be no further communication <head>on</head> this matter until then . """	7	having (the thing mentioned) as a topic; about (e.g., knowledge on sailing)
165	This does not mean that the group is clandestine but rather that it has other characteristics of a conspiracy ; in particular , common purpose and internal communication <head>on</head> significant issues .	7	having (the thing mentioned) as a topic; about (e.g., knowledge on sailing)
166	Company patronage gives the member companies opportunities for private , informal dialogue <head>on</head> important issues which confront the industry and ensures that HCIMA is closely attuned to the industry 's responses .	7	having (the thing mentioned) as a topic; about (e.g., knowledge on sailing)
